status,supplierArticle,incomeId,techSize,warehouseName,dateClose,barcode,number,totalPrice,nmId,date,lastChangeDate,quantity
,VD008,672465,122,Подольск2,2020-03-01T22:55:00,5021462397137,M-Mos00271074,5495,11339580,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VD016,672465,122,Подольск2,2020-03-01T22:55:00,5021462426585,M-Mos00271074,5495,11339581,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VD482,672465,134,Подольск2,2020-03-01T22:55:00,5021465464485,M-Mos00271074,7497,11339593,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VD483,672465,116,Подольск2,2020-03-01T22:55:00,5021465470806,M-Mos00271074,5877,11339594,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VD612,672465,86,Подольск2,2020-03-01T22:55:00,5021464025083,M-Mos00271074,5997,11339596,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VD612,672465,92,Подольск2,2020-03-01T22:55:00,5021464025090,M-Mos00271074,5997,11339596,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VE108,672465,134,Подольск2,2020-03-01T22:55:00,5021462095521,M-Mos00271074,4995,11339600,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VE130,672465,116,Подольск2,2020-03-01T22:55:00,5021465536991,M-Mos00271074,5697,11339601,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VE291,672465,86,Подольск2,2020-03-01T22:55:00,5021464173869,M-Mos00271074,2295,11339603,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VE300,672465,122,Подольск2,2020-03-01T22:55:00,5021464182229,M-Mos00271074,6897,11339605,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VE306,672465,134,Подольск2,2020-03-01T22:55:00,5021464187903,M-Mos00271074,7197,11339606,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VE306,672465,92,Подольск2,2020-03-01T22:55:00,5021464187835,M-Mos00271074,5997,11339606,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB755,672465,134,Подольск2,2020-03-01T22:55:00,5021464091903,M-Mos00271074,1995,11339541,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VC022,672465,80,Подольск2,2020-03-01T22:55:00,5021464155131,M-Mos00271074,4377,11339547,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VC063,672465,104,Подольск2,2020-03-01T22:55:00,5021464159559,M-Mos00271074,2997,11339549,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VC063,672465,116,Подольск2,2020-03-01T22:55:00,5021464159573,M-Mos00271074,2997,11339549,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VC130,672465,104,Подольск2,2020-03-01T22:55:00,5021464170240,M-Mos00271074,8795,11339555,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VC130,672465,92,Подольск2,2020-03-01T22:55:00,5021464170219,M-Mos00271074,7995,11339555,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VC152,672465,98,Подольск2,2020-03-01T22:55:00,5021464171506,M-Mos00271074,2793,11339557,2020-03-01T00:00:00,2020-03-01T23:03:38.753,7
,VC153,672465,122,Подольск2,2020-03-01T22:55:00,5021464171773,M-Mos00271074,2793,11339558,2020-03-01T00:00:00,2020-03-01T23:03:38.753,7
,VC278,672465,86,Подольск2,2020-03-01T22:55:00,5021464183585,M-Mos00271074,4995,11339567,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VC278,672465,92,Подольск2,2020-03-01T22:55:00,5021464183592,M-Mos00271074,4995,11339567,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VC319,672465,110,Подольск2,2020-03-01T22:55:00,5021464186319,M-Mos00271074,6795,11339568,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VC319,672465,128,Подольск2,2020-03-01T22:55:00,5021464186425,M-Mos00271074,7295,11339568,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VC335,672465,104,Подольск2,2020-03-01T22:55:00,5021464176044,M-Mos00271074,1995,11339570,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VC335,672465,110,Подольск2,2020-03-01T22:55:00,5021464176068,M-Mos00271074,1995,11339570,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VC335,672465,116,Подольск2,2020-03-01T22:55:00,5021464176075,M-Mos00271074,1995,11339570,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VC405,672465,122,Подольск2,2020-03-01T22:55:00,5021462277781,M-Mos00271074,1995,11339572,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VC495,672465,104,Подольск2,2020-03-01T22:55:00,5021462250340,M-Mos00271074,4797,11339575,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VC618,672465,140,Подольск2,2020-03-01T22:55:00,5021464014261,M-Mos00271074,7497,11339576,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VC625,672465,98,Подольск2,2020-03-01T22:55:00,5021462174424,M-Mos00271074,5697,11339577,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VD016,672465,128,Подольск2,2020-03-01T22:55:00,5021462426677,M-Mos00271074,5495,11339581,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VD467,672465,122,Подольск2,2020-03-01T22:55:00,5021464203719,M-Mos00271074,4077,11339589,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VD467,672465,80,Подольск2,2020-03-01T22:55:00,5021464203108,M-Mos00271074,3477,11339589,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VD467,672465,86,Подольск2,2020-03-01T22:55:00,5021464203115,M-Mos00271074,3477,11339589,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VD476,672465,110,Подольск2,2020-03-01T22:55:00,5021464241667,M-Mos00271074,6597,11339590,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VD482,672465,128,Подольск2,2020-03-01T22:55:00,5021465464478,M-Mos00271074,7497,11339593,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VD484,672465,110,Подольск2,2020-03-01T22:55:00,5021465470240,M-Mos00271074,5877,11339595,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VD484,672465,98,Подольск2,2020-03-01T22:55:00,5021465470226,M-Mos00271074,5877,11339595,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VD612,672465,80,Подольск2,2020-03-01T22:55:00,5021464025076,M-Mos00271074,5997,11339596,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VE108,672465,92,Подольск2,2020-03-01T22:55:00,5021462095446,M-Mos00271074,4995,11339600,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VE130,672465,104,Подольск2,2020-03-01T22:55:00,5021465536977,M-Mos00271074,5697,11339601,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VE130,672465,92,Подольск2,2020-03-01T22:55:00,5021465536939,M-Mos00271074,5097,11339601,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VE291,672465,128,Подольск2,2020-03-01T22:55:00,5021464175658,M-Mos00271074,2795,11339603,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VE299,672465,134,Подольск2,2020-03-01T22:55:00,5021464155650,M-Mos00271074,5997,11339604,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VE299,672465,140,Подольск2,2020-03-01T22:55:00,5021464155667,M-Mos00271074,5997,11339604,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VA062,672465,86,Подольск2,2020-03-01T22:55:00,5021464132095,M-Mos00271074,5995,11339491,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VA076,672465,74,Подольск2,2020-03-01T22:55:00,5021464144074,M-Mos00271074,7497,11339493,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VA099,672465,68,Подольск2,2020-03-01T22:55:00,5021464127169,M-Mos00271074,3897,11339497,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VA099,672465,74,Подольск2,2020-03-01T22:55:00,5021464127176,M-Mos00271074,3897,11339497,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VA106,672465,74,Подольск2,2020-03-01T22:55:00,5021464134853,M-Mos00271074,1795,11339498,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VA215,672465,62,Подольск2,2020-03-01T22:55:00,5021464128968,M-Mos00271074,4995,11339501,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VA300,672465,80,Подольск2,2020-03-01T22:55:00,5021464135645,M-Mos00271074,1795,11339502,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VB285,672465,104,Подольск2,2020-03-01T22:55:00,5021462583264,M-Mos00271074,2793,11339506,2020-03-01T00:00:00,2020-03-01T23:03:38.753,7
,VB285,672465,128,Подольск2,2020-03-01T22:55:00,5021462583387,M-Mos00271074,2793,11339506,2020-03-01T00:00:00,2020-03-01T23:03:38.753,7
,VB285,672465,134,Подольск2,2020-03-01T22:55:00,5021462583394,M-Mos00271074,2793,11339506,2020-03-01T00:00:00,2020-03-01T23:03:38.753,7
,VB290,672465,116,Подольск2,2020-03-01T22:55:00,5021462586722,M-Mos00271074,2793,11339509,2020-03-01T00:00:00,2020-03-01T23:03:38.753,7
,VB294,672465,86,Подольск2,2020-03-01T22:55:00,5021462072546,M-Mos00271074,4497,11339510,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB297,672465,92,Подольск2,2020-03-01T22:55:00,5021462587477,M-Mos00271074,4497,11339511,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB347,672465,92,Подольск2,2020-03-01T22:55:00,5021462020684,M-Mos00271074,2997,11339515,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB361,672465,104,Подольск2,2020-03-01T22:55:00,5021462090878,M-Mos00271074,2997,11339517,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB361,672465,86,Подольск2,2020-03-01T22:55:00,5021462090540,M-Mos00271074,2997,11339517,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB379,672465,128,Подольск2,2020-03-01T22:55:00,5021464293246,M-Mos00271074,3495,11339520,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VB404,672465,92,Подольск2,2020-03-01T22:55:00,5021464200817,M-Mos00271074,4977,11339521,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB409,672465,128,Подольск2,2020-03-01T22:55:00,5021465412165,M-Mos00271074,2997,11339523,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB441,672465,128,Подольск2,2020-03-01T22:55:00,5021462102861,M-Mos00271074,6597,11339525,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB442,672465,116,Подольск2,2020-03-01T22:55:00,5021462106395,M-Mos00271074,4998,11339526,2020-03-01T00:00:00,2020-03-01T23:03:38.753,2
,VB503,672465,86,Подольск2,2020-03-01T22:55:00,5021462559801,M-Mos00271074,3295,11339529,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VB514,672465,128,Подольск2,2020-03-01T22:55:00,5021462081142,M-Mos00271074,3795,11339531,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VB514,672465,92,Подольск2,2020-03-01T22:55:00,5021462080480,M-Mos00271074,3795,11339531,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VB622,672465,104,Подольск2,2020-03-01T22:55:00,5021464086961,M-Mos00271074,5697,11339534,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB652,672465,134,Подольск2,2020-03-01T22:55:00,5021464086435,M-Mos00271074,7596,11339536,2020-03-01T00:00:00,2020-03-01T23:03:38.753,4
,VB709,672465,122,Подольск2,2020-03-01T22:55:00,5021464091248,M-Mos00271074,5397,11339539,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VB755,672465,116,Подольск2,2020-03-01T22:55:00,5021464091873,M-Mos00271074,1995,11339541,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VB759,672465,134,Подольск2,2020-03-01T22:55:00,5021464095383,M-Mos00271074,3177,11339542,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VC042,672465,86,Подольск2,2020-03-01T22:55:00,5021464157067,M-Mos00271074,7995,11339548,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VC063,672465,98,Подольск2,2020-03-01T22:55:00,5021464159542,M-Mos00271074,2997,11339549,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VC130,672465,110,Подольск2,2020-03-01T22:55:00,5021464170257,M-Mos00271074,8795,11339555,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VC130,672465,86,Подольск2,2020-03-01T22:55:00,5021464170141,M-Mos00271074,7995,11339555,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VC152,672465,104,Подольск2,2020-03-01T22:55:00,5021464171513,M-Mos00271074,2793,11339557,2020-03-01T00:00:00,2020-03-01T23:03:38.753,7
,VC152,672465,80,Подольск2,2020-03-01T22:55:00,5021464171414,M-Mos00271074,2793,11339557,2020-03-01T00:00:00,2020-03-01T23:03:38.753,7
,VC192,672465,122,Подольск2,2020-03-01T22:55:00,5021464164942,M-Mos00271074,4995,11339560,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VC192,672465,80,Подольск2,2020-03-01T22:55:00,5021464164867,M-Mos00271074,4995,11339560,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VC246,672465,104,Подольск2,2020-03-01T22:55:00,5021464180867,M-Mos00271074,4377,11339564,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VC255,672465,110,Подольск2,2020-03-01T22:55:00,5021464181185,M-Mos00271074,5877,11339566,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VC319,672465,140,Подольск2,2020-03-01T22:55:00,5021464186456,M-Mos00271074,7295,11339568,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VD022,672465,128,Подольск2,2020-03-01T22:55:00,5021462428077,M-Mos00271074,5495,11339582,2020-03-01T00:00:00,2020-03-01T23:03:38.753,5
,VD054,672465,104,Подольск2,2020-03-01T22:55:00,5021462431688,M-Mos00271074,7497,11339584,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VD054,672465,128,Подольск2,2020-03-01T22:55:00,9781409302056,M-Mos00271074,7497,11339584,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VD075,672465,116,Подольск2,2020-03-01T22:55:00,5021462434252,M-Mos00271074,6597,11339586,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VD476,672465,134,Подольск2,2020-03-01T22:55:00,5021464241957,M-Mos00271074,7197,11339590,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VD482,672465,98,Подольск2,2020-03-01T22:55:00,5021465464423,M-Mos00271074,6897,11339593,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
,VD659,672465,80,Подольск2,2020-03-01T22:55:00,5021464112769,M-Mos00271074,5397,11339598,2020-03-01T00:00:00,2020-03-01T23:03:38.753,3
